name,ratings,date,helpful,comment,developer_comment
김순선,5,2020-07-26,8,"의류와 쇼핑♡좋은글있어올립니다 끝가지 보세요♡ 노년의 자세 어느 조찬 모임에서 저 보다 연세가 많은 분이 퀴즈를 냈습니다. ""우리 나이가 어떤 나이냐?"" 는 겁니다. 느닷없는 질문이어서, 그냥 무슨 말이 이어질지 기다리고 있었더니 ""미움 받을 나이""라 했습니다. 생각해보니 의미가 큰 화두입니다. 저는 배우자, 자식, 이웃 친구에게 미움 받지 않고 살려고 애써야 된다는 뜻으로 받아들였습니다. ""서양 사람들이 생각하는 노년의 자세"" 란 글을 친구로 부터 전해 받았습니다. 우리 세대에게도 실용적인 지침이 되지만 다음 세대도 이런 생각과 노력을 하고 있다는 걸 이해시키는 것도 중요하다는 생각입니다. 부디 차근차근 읽으시면서, 생각하는 시간 되시기 바랍니다. 1. 노년(老年 )은 그 동안 모은 돈을 즐겨 쓰는 시기이다. 돈을 축적(蓄積)",
LBX DD,1,2020-09-25,1,카톡에서링크볼라면 무조건 앱깔아야되네요 별점 1점드립니다 방구나 드십쇼,
김정연,3,2020-07-15,10,요즘 무슨 로켓와우회원아니면 쿠팡에서 물건 사기 힘드네요....물론 쿠팡도 돈벌어야하는건 알겠는데.. 회원아님 물건 사지말라는것도아니고...좀 불편해요,
김아람,4,2020-09-26,1,제가 갖고싶은걸 집에서 구매할수 있어서 편리합니다 그리고 아이들이 쿠팡을 깔면 사달라고 하더라구요 그래서 조금 아쉽습니다ㅠㅠ,
만리향,5,2020-09-02,5,좋아요~ 정확하고빠른배송이 특히 맘에 듭니다,
손창인,1,2020-09-11,0,[6.3.1 업데이트 내용] - 일부 마이너 버그가 수정되었습니다. - 앱 안정성 작업을 포함하고 있습니다. * 안정적인 앱 업데이트를 위해서 가급적 실행중인 쿠팡 앱을 완전히 종료후 업데이트 하시기 바랍니다.,
주성우,1,2020-07-15,7,아니너무하네요반품해도돈내야돠고취소해도돈들어가고너무한거아니에요!?,
보민,5,2020-07-09,6,추천합니다. 진짜 물건도 너무좋구요 다음날 새벽에 바로 오는것두 있고 진짜 완전 대박이네요,
KK Kim,5,2020-09-30,0,괜찮네요 G마켓 하고 경쟁 하는듯 좋아요 착한 가격,
윤금주,4,2020-08-31,7,예전보다배송도빠르고 물건도좋아졌어요,
최선아,5,2020-07-14,4,그런데 여기는 포인트는 안주나요?현금으로바로빠지는데 포인트가안떠요 한달이면 엄청사는데,
웨이,1,2020-07-12,7,1점도 아까워요 로그인도 안 돼고요 물건을 사라는건지 말라는건지 모르겠네요,
