name,ratings,date,helpful,comment,developer_comment
박소이,5,2020-05-25,2,청소 서비스 좋네요 ~ 이용할만 했고요 . 깔끔한 청소 잘 해주셔서 자주 이용할려고 해요,"Miso, Inc.2020년 6월 1일안녕하세요, 박소이 고객님. 미소 서비스를 이용해 주셔서 감사합니다. 자주 이용하고 싶을 정도라고 칭찬해 주시니, 더 좋은 서비스로 보답하고 싶습니다. 미소를 통해 고객님의 일상이 조금이나마 여유로워지셨다면, 기쁜 마음입니다 ^_^ 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 청소가 필요할 때는 미소를 기억해주세요~ 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요 ^_^ 감사합니다. :)"
손보석,5,2020-05-26,2,집안이 많이 더러웠는데 미소 이용하고선 집안이 180 도로 달라졌습니다 제가 여러 군데 말씀드렸는데 귀찮을 법도 하신데 ㅎㅎ 친절히 잘 맞춰주셔서 너무 감사했고요 앞으로는 1 달에 2 회정도로 쓰는게 좋을거 같아서 정기적으로 이용해볼까 생각 중이에요 ^^ 좋은 서비스 진행해주셔서 감사합니다,
민병숙,5,2020-06-02,0,가격대가 저렴하다보니 청소하게될때면 무조건 이용하게되더라구요,
최수열,5,2020-06-03,0,어플로 원하는 시간대 예약하고 바로바로 결제할수있어서 편하네요,
임준혁,5,2020-06-04,0,미소 서비스가 좋은점이 참 많아요 ㅋㅋ 청소 잘 받고 있습니다,
김진숙,5,2020-06-13,0,앱으로 시간예약하는게 간편해서 너무 편하게 이용하고있습니다.,
가서인,5,2020-06-08,0,이정도 금액에 이정도 서비스면 완전 혜자네요 자주 이용할게요,
김희제,5,2020-05-23,2,웬만하면 주변 지인들한테 추천을 안하는데 주변에 혼자 지낸는분들이많아서 미소를 추천해드렸네요..,
손설민,5,2020-05-23,2,가격이 진짜 놀랐어요.. 청소를 맡기고 어느정도 요청사항을 말씀드렸는데 처리 깔끔하게 잘해주셨습니다.,
고수분,5,2020-05-30,0,나이드시고 몸이 좀 불편해 청소를 잘 못해. 이렇게 서비스를 이용하고있는데 항상 잘해주고가셔서 이렇게 리뷰도 남겨봅니다.,
배종원,5,2020-06-04,0,예상보다 청소 잘해주셨고 또 가격적인부분인도 정말 착하네요,
강헌구,5,2020-05-21,2,생활 밀착 플랫폼 중에서 미소가 가장 낫더라고요 . 청소 부터 마무리까지 흠잡을 곳이 없습니다,
심정민,5,2020-06-06,0,처음해봣는데 오신분도좋구..계속정기적으로이용할려구요♡♡,
진창록,5,2020-06-08,0,미소서비스 정말 좋더라고요 이용할만 했어요 !,
박주상,5,2020-04-18,2,"여기 미소 평가가 좋아서 이모님 해주시는 청소를 처음 이용해보았습니다. 요청사항이 여러 개 있었는데도 불구하고, 이모님께서 정말 꼼꼼하게 청소해주셨습니다. 집이 깨끗하니 기분이 참 좋네요... 진짜 제가 직접 하는 청소와 확연히 틀리네요. 가성비가 좋아서 다음에도 계속 이용할 것 같습니다. 다음에도 깨끗하게 청소해주시면 좋겠어요... 이모님 감사드립니다 !!","Miso, Inc.2020년 4월 22일안녕하세요, 박주상 고객님. 확연히 다른 청소 서비스, 미소 입니다. :)  저희 미소를 이용해 주셔서 감사합니다. 깨끗한 집에서 생활하면 기분이 상쾌하지요 ^^ 미소 서비스를 통해 고객님의 일상이 조금이나마 여유로워지셨기를 바랍니다. 미소는 고객님께서 특별히 신경 쓰지 않으시더라도, 미소 서비스를 원활하게 제공해 드리는 것을 지향하고 있습니다. 저희는 고객님의 생활을 더 편하고, 더 쉽게 만들기 위해서 오늘도 노력하고 있습으니 추후 청소가 필요할 때는 다시 미소를 찾아 주세요. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요 . 감사합니다 :)"
