name,ratings,date,title,comment
,5,2019-05-02,ㅋㅋㅇ페이 왜안하세요..?,결제수단에 ㅋㅋㅇ페이가 없네용.. 초큼 당황했어요 요즘 ㅋㅋㅇ페이 안되는 곳이 있었다니..! 무조건 해야하는 건 아니지만 워낙 편해서 ㅋㅋㅇ페이 애용한지 오래돼서 온라인상에서는 다른 결제수단은 사용안하는데 오랜만에 카드결제로 복잡한 절차를 거쳐 주문했어요 ㅋㅋㅋㅋ 워낙 독특한 제품들이 많아서 마켓컬리 애용할것같지만 할때마다 평소보다 긴 결제 절차에 짜증날것같아요...
,1,2020-09-25,배송관리가 엉망,배송관련 요청사항을 항상 안지켜줌...특별한거 살 꺼 아니면 그냥 쿠팡에서 시키세요. 그게 훨씬 편합니다
,5,2020-01-13,아이디 비번 잊어버리면 절대 이용하지 못함......,불편한 점 안내드릴게요.
,1,2021-03-11,1점도 아깝네요,노동자 블랙리스트 만들어 운영하는 기업 불매합니다.
,1,2021-03-10,노동자에게 제대로된 임금 지급,마켓컬리 노동자에게 제대로 된 임금 지급을 할 때 까지 마켓컬리앱을 이용하지 않겠습니다.
,5,2020-12-16,마켓컬리 :),"처음엔 수입 제품 좋아하는 분들 인스타용 먹거리라고 생각했지만, 나름 맛있는 브랜드의 먹거리를 집에서 쉽게 먹을 수 있고, 이마트나 대형마트보다 비쌀 거라는 편견을 없애줬어요. 가격비교해보니 더 싼 상품들도 많았음. 그리고 일단 배송!!!! 다음날 바로 먹을 수 있다는 기대감이 너무너무 좋습니다. 부지런한 사람이라면 미리발품팔아서 집에 들어오기 전 퇴근길에 장봐서 왔을텐데 그래도 시간낭비ㅠ 자기 전 내일 아침 먹고 싶은 것을 주문해서 내일 바로 먹을 수 있다는게 이 시대를 살아가고 있으면서도 계속 놀라는 중 ㅎㅎㅎ 좋은 세상이지요 ㅎㅎ아침 7시가 되기도 전에 문 앞에 갖다 놓고 가십니다:) 감사합니다"
,1,2021-03-13,일용직 블랙리스트 만들지 마세요.,일용직 노동자 사용하면서 블랙리스트 만들지 마세요.
,1,2020-02-07,솔직한 평가,경기도 오산에 거주합니다. 광고는 무슨 쿠팡처럼 다 오전7시까지 배송해줄 것처럼 하고 샛별배송지역 아니라고 일반택배로 보내고 그럼 언제 오는지는 알아야 되는데 어플에서 배송추적도 안되고 다른 데서 사는 것보다 싼 것도 아니고 그냥 정가 정도인데 그걸 샛별배송인지 뭔지로 만들어서 브랜드화를 했으면 확대를 해야지 그 자리에 멈춰있눈 느낌...
,5,2021-02-08,컬리배송,새벽 배송과 꼼꼼함은 늘 감동입니다.
,5,2021-02-14,궁금한 게 있어요,마켓컬리 인사이트라는 책을 보고 궁금해서 깔았는데요
,5,2020-03-28,만족 만족,제가 만족하는 여러가지
,5,2021-04-09,정말 편하고 좋아요,"마켓컬리는 이제 저한테 없어서는 안 될 장보기 앱이 되어버렸어요. 비싼 가격의 음식도 많지만, 정말 퀄리티가 너무 좋고 신선해요. 가끔 양파같은 거는 신선도가 조금 떨어지는 게 오긴 했었지만 가끔이라서 이제는 믿고 주문하는 마켓컬리가 되었어요"
,5,2021-02-26,찜/좋아요 항목 만들어주세요!,"한국에 없으면 안될 쇼핑앱이라고 생각해요 장보면서 떨어진 기초화장품도 주문 가능하고 해택,세일도 많은 유용한 앱이에요. 포장도 안 일그러지게,안녹게 해주시고 새벽배송도 빠르고 좋아요."
,5,2020-12-21,모르면 몰라도 한번 방문하면 또 찾게되는 컬리,처음 나혼자산다 시작하면서 컬리 앱을 다운받아 앱쇼핑이 즐거워 졌어요~
,5,2021-01-24,너무 좋아요 잘 쓰고 있어요,"할머니 할아버지 엄마 아빠랑 같이 사는 대가족이에요. 어른들은 찌개에 조림 같은 거 드시는데 저만 식성이 달라서 샐러드, 샌드위치 이런 걸 좋아하다보니 입맛이 너무 안 맛더라구요ㅠㅠ"
,5,2020-12-09,새벽배송 최고,한번 새벽배송의 맛을 보고 계속 주문하고 있어요 너무 좋은것같아요. 강품들도 퀄리티 좋고 ㄱ가격도 맘에 들어요.
,5,2020-07-13,빠르고 깔끔한 배송 칭찬해요,물건을 직접 보고 사야 하는 프로의심러인 제가 남편의 추천으로 마켓컬리 가입해서 구매했는데
,5,2019-12-22,컬리 애정,사실 *마트 할인이 더 높은데도 컬리를 굳이 이용하는건 다양한 제품들이 많아서에요. 하지만 그만큼 품절도 많아서 재입고 기다리던 상품이 들어오면 다른게 솔다아웃되서 주문을 못하기도 하죠;; 구매하고 나서 재입고 소식이 들어오면 재 구매할때 배송비가 생기지 않앆으면 좋겠고요. 다른 *마트의 경우는 구매 후 배송전 다시 구매할것이 생각나면 바로 같이 배송할 수 있는 서비스가 있던데 그런부분이 개선되면 좋겠습니다. 그리고 패킹은 좀 최소한이 되면 좋겠고요. 다른 몇몇의 배송 업체처럼 보냉백 서비스로 변경되면 더 좋을것 같아요. 여전히 패킹에 있어서 종이박스며 종비 봉투가 낭비로 여겨집니다.
,5,2019-05-26,마켓컬리 한 번 배송시켜보고 감동먹어서 리뷰쓰러옴,진짜 밤에 시키고 잠 안 와서 뒤척거리는데 새벽 3~4시쯤 문 앞에 두고 문자 뿅 보내시고.. 배송이 빠르니까 음식도 신선하고 무엇보다 시킨 음식이 다 맛있습니다... 왜 이제 이용했을까... 진짜 널리널리 퍼졌으면.. 사람들 다 알았으면... 마켓컬리 승승장구 했으면 좋겠어요... 이제 마켓컬리만 계속 애용하려고요.. 자취 시작하고 처음으로 장 봐서 음식 해먹는 재미 들린 것 같아요 감사합니다!!!!!! ㅠ^ㅠb
,5,2021-01-27,점점 발전하는 마켓컬리,초창기에는 물건이 누락되는 경우도 여러번 있었는데 고객센터 직원분들이 너무너무너무 친절하셨고 대응까지 완벽해 마켓컬리만 이용하게 되더라구여 다른 앱도 깔아보고 시켜봤지만 결국 돌아오는건 마켓컬리.. 끊을 수가 없어요 ㅠ 컬리만큼 제품들이 눈에 쏙 들어오는 어플은 없는거같아요 베이커리류도 더더 많이 들여와주세용ㅎㅎ
,5,2020-11-27,늘 잘 쓰고 있어요,좋은 상품 품질과 편리하고 심플한 앱 기능으로 늘 잘 쓱 있습니다 마켓컬리 회사에 다녀보고 싶을 만큼 다음날이 기대되는 어플입니다
,5,2020-07-02,쿠팡 옥션 이런곳보다 엄청좋네요!!,신규가입하면 100원에 살수있는 이벤트상품도있고 금액이적어도 무료배송이에요!! 무조건 3만원이상 5만원이상 맞춰살 필요도없고 주말끼면 배송이 늦어지는데 샛별배송지라 8시전에만 입금하면 그 새벽에 배송되서 해산물이나 냉동식품도 녹지않고 배달되요!! 상품도 놓은위치 사진찍어보내주고 하루도안되서 배송오고 금액도 싸고 종류도많아서 여기로 갈아탑니다 감사합니다❤️
,5,2021-01-05,장바구니 저장 기능도 넣어주세요!,"안녕하세요! 컬리 덕분에 정말 편한 장보기를하고 있는 컬리 애용자 입니다 :)) 앱 사용중에 건의사항이 있어서 리뷰를 남깁니다,,,!"
,5,2020-10-12,퀼리티 높은 제품과 빠른배송,매일 아침 신선한 식재료들을 받아 좋아요! 기대 이상으로 제품의 품질이 좋아요! 제품이 적당하게 배송가능한 것들이 있어 쇼핑시간이 짧아 좋아요! 결정장애가 있는 저에게 여러 비슷한 제품들로 혼란 하지 않고 매일 저녁 장을 보며 시간 절약 할 수 있어 매우 만족하고 있습니다!^^ 제품마다 있는 리뷰중 베스트 리뷰는 큰 도움이 됩니다! 제품을 활용한 다양한 요리 정보도 얻을수 있어 효율적입니다!
,5,2021-01-07,사랑해요 ㅜㅜ,무료배송에다가 오늘 시켰는데 벌써 배송중떠서 놀랐습니다...지금 날씨때문에 늦은다하신다던데 이정도도 빠른거 아니였나요ㅜㅜㅜ꼬북칩 초코츄러스맛 다른 인터넷엔 없고 주위 편의점 마트도 다 팔려서 속상했는데 마켓컬리에 있어서 바로 3개나 샀습니다..마켓컬리 화이팅 !!!
,5,2020-06-11,유퀴즈에서 봤어요,너무나 멋진 여사장님 잘봤습니다.
,5,2021-02-15,마켓컬리 너무좋은데 아쉬운점,서비스도 좋고 ui도 좋고 다 너무잘쓰고 있는데
,5,2020-09-01,심미적예요,색도 통일성 있고 카테고리 정리도 간결해 정돈된 느낌예요.
,4,2019-04-15,정말 애용하고있어요,"애용하고 있는데요, 열시반에서부터 열한시 되기 전에는 원래 서버가 느려지나요?? 다음날 아침에 먹고싶은게 생겨서 급하게 주문을 하려고 하는데 계속 렉걸리고 주문서작성까지는 되는데 결제창이 안떠서요 ㅠㅠ.. 정말 먹고싶은것을 못먹는 서글픈 마음에 리뷰를 작성합니다.. 마켓컬리 진짜 좋아하는데요.. 혹시 서버에 사람 접속이 많아져서 그런건지, 뭐 문제가 있던건지.. 궁금하네요ㅠㅠ 참고로 4월 15일 밤 열한시 전에 서버 관련해서 여쭤봐요.................. 그래도 하여튼 이런 좋은 어플 만들어주셔서 감사합니다.."
,5,2020-05-15,박스가져가는 서비스요 ㅎㅎ,너무좋은데..
,5,2020-05-18,신선한 제품을 퀄리티 있게,신선한 제품을 고퀄리티로 받아볼수있어서 좋아요.
,5,2021-01-09,좋아요!!,자꾸 앱 구경하러왔다가 손가락으로 클릭클릭 장을 보게 됩니다. 광고로만 보고 궁금했는데 직접해보니 편하게 장을 보게되고 상품도 신선하고 좋아서 지인분들께 추천하게 됩니다. 요즘은 추워서 마트도 안가고 마켓컬리에서 편하게 사서 해먹으니 좋습니다. 이제라도 만나 넘 행복합니다. 새벽배송하시는 기사님들 감사합니다. 모두 수고하세요!!
,5,2020-06-19,마켓컬리 배송은 받으면 기분좋고 감동입니다.,"물품이 다양하고 꼼꼼하게 안내해주셔서 감사하고, 지역경제 살리자는 마음으로 동네 가게들을 많이 애용했는데 마켓컬리 정성에 감동하네요.."
,5,2020-08-23,자극적인 광고 없이,편하게 볼 수 있어서 정말 혼자 장보러 나온 느낌이에요
,5,2020-08-11,리뷰 처음해봐요 마켓컬리 좋아요,"배송이 감동적일 정도로 빠르고 상품의 신선도가 좋습니다. 마켓컬리에서만 볼 수 있는 상품들도 좋고, 이벤트도 마음에 들고 멤버쉽제도도 좋고 첫가입 후 일정기간 2만원이상 무료배송 제도도 좋아요. 취급하는 상품이 좀더 다양했으면 좋겠어요. 이건 앞으로 기대해보겠습니다.^^ 믿고 구매합니다. 강력추천드립니다."
,5,2020-01-31,"늦차 탔는데, 계속 주문중.. 빠졌어요~",마켓컬리에 빠졌어요!
,5,2021-01-23,참... 이런경우는 ...,아이디는 가입되여있다  그러고 비번은 틀리고.. 비번 찾으려니 메일적으라 그러고 메일..메일은 기억도 안 나고.. 새로가입하려고 폰번호 적으니 사용된거라 거절하네요... 찾을 방법이 없어 어플 삭제 합니다ㅠㅜ  사용 그만 할게요.. 할인쿠폰 뿌리는 문자 그만 보내세요.. 대박나세요..
,5,2019-12-31,자꾸 편리해져서 찾아오네요~,좀 특별한 상품 위주에서 폭넓어지고 자주 구입하는 제품으로 또는  급하게 필요한 선물포장같은 제품이 생겨나 앞으로 어떻게 변화할 지 궁금하게 하네요. 추운 날씨 배달하시는 분들께 죄송하지만 갑자기 아이들이 독감이 들어 나갈 수 없는 상황에서 너무 편하게 이용하고 있어 고마운 생각이 더 드네요. 고맙습니다! 감기조심하세요~^^
,5,2020-05-21,앱 너무 좋네요~~^^,앱 진작에 깔아서 쓸 걸 그랬네요~! 아주 편리하고
